"","Evenement","Organisator","Entree Ja/Nee","Editie 1","Startdatum","Einddatum","Aantal dagen","Locatie/accomodatie","Binnen of Buiten","Imago","Bezoekers","Jaar"
"220","VD45","4V3","gratis",1995,2012-05-27,2012-05-27,1,"Het Park bij de Euromast","buiten","Nationaal belang/Parels",250000,2012
"221","L2R4","6PU","betaald",1994,2012-05-16,2012-06-03,19,"Ro Theater / Witte de Withstraat / Nederlands Architectuurinstituut / Schouwburgplein / Museum Boijmans Van Beuningen / MAMA showroom / Kunsthal / Unie (De) / Scapino / Arminius / SKVR / V2_gebouw / WORM / Postkantoor Coolsingel","beide","Nationaal belang/Parels",10000,2012
"222","DYCA","S2B","onbekend",2008,NA,NA,NA,NA,"onbekend","Nationaal belang/Parels",NA,2012
"223","I40T","Q1A","gedeeltelijk gratis",1994,2012-01-25,2012-02-05,12,"Schouwburgplein / Rotterdamse Schouwburg / De Doelen / LantarenVenster / Luxor Theater (oud)","beide","Internationaal belang/Iconen",274000,2012
"224","LV2B","Q2N","gratis",2012,NA,NA,NA,NA,"binnen","n.v.t.",5000,2012
"225","HWES","G0G","onbekend",1997,NA,NA,NA,NA,"onbekend","Onbekend",NA,2012
"226","2RXI","K8X","gratis",2005,2012-09-07,2012-09-09,3,"Leuvehaven / Oude Haven / Wijnhaven","beide","Nationaal belang/Parels",20000,2012
"227","EJ2O","SIM","gratis",1993,2012-07-01,2012-07-01,1,"Zuiderpark","buiten","Nationaal belang/Parels",27000,2012
"228","X0VJ","O8M","betaald",2011,2012-05-04,2012-06-02,2,"Sidelinge park (overschie)","buiten","Nationaal belang/Parels",3500,2012
"229","KC2R","DZ3","gedeeltelijk gratis",2006,NA,NA,NA,NA,"beide","Regionaal belang/kleinschalig",83000,2012
"230","XGIP","ESZ","betaald",2012,2012-06-09,2012-06-09,1,"Maassilo","binnen","Nationaal belang/Parels",2544,2012
"231","YWIX","CZK","onbekend",2011,2012-05-25,2012-06-03,10,"Rotterdamse Schouwburg","binnen","Nationaal belang/Parels",25000,2012
"232","4JUK","WQY","gratis",2005,2012-08-22,2012-08-26,4,"Veerhaven","buiten","Nationaal belang/Parels",4000,2012
"233","O51L","IMH","gedeeltelijk gratis",2014,NA,NA,NA,NA,"route","Regionaal belang/kleinschalig",3291,2012
"234","511I","CVB","gedeeltelijk gratis",2002,2012-04-19,2012-04-22,4,"Nederlands Architectuurinstituut / Schouwburgplein / Rotterdamse Schouwburg / Unie (De) / Centrum Beeldende Kunst / Rotown / Off_Corso / Museumpark / WORM","beide","Nationaal belang/Parels",15000,2012
"235","K2EO","KQH","onbekend",1996,2012-08-15,2012-09-02,19,"Museumpark","buiten","Regionaal belang/kleinschalig",24000,2012
"236","T2J2","7OG","betaald",1994,NA,NA,NA,NA,"binnen","Nationaal belang/Parels",NA,2012
"237","2U0X","E5H","gratis",2005,2012-01-25,2012-12-31,10,"Schouwburgplein","buiten","Regionaal belang/kleinschalig",47500,2012
"238","J1HR","GGS","betaald",2011,NA,NA,NA,NA,"binnen","Nationaal belang/Parels",NA,2012
"239","MIR4","H14","gedeeltelijk gratis",2012,NA,NA,NA,NA,"beide","Nationaal belang/Parels",12000,2012
"240","T5M2","8B1","gedeeltelijk gratis",2012,NA,NA,NA,NA,"beide","Regionaal belang/kleinschalig",1000,2012
"241","OGWN","7ZE","gedeeltelijk gratis",2012,NA,NA,NA,NA,"beide","Nationaal belang/Parels",10000,2012
"242","LHJP","6RH","gedeeltelijk gratis",1998,2012-09-07,2012-09-15,9,"Ro Theater / De Doelen / LantarenVenster / Las Palmas / Arminius / Laurenskerk","beide","Internationaal belang/Iconen",16994,2012
"243","TX3L","PYD","gratis",2000,2012-07-21,2012-07-21,1,"Grote Kerkplein","buiten","Regionaal belang/kleinschalig",4000,2012
"244","RETZ","VIC","gratis",NA,2012-10-10,2012-10-28,19,"Schouwburgplein / Nederlands Foto Instituut / Rotterdamse Schouwburg / Maritiem Museum / Historisch Museum / Laurenskerk / Bibliotheek","beide","Regionaal belang/kleinschalig",5000,2012
"245","KMZB","263","betaald",2003,2012-03-10,2012-03-10,1,"Witte de Withstraat / Museumpark","beide","Nationaal belang/Parels",15000,2012
"246","BNRC","2R2","gratis",2009,2012-09-21,2012-09-22,2,"Heemraadsplein","buiten","Regionaal belang/kleinschalig",8000,2012
"247","NN11","2R2","gratis",2012,2012-03-03,2012-12-15,4,"Museumpark","buiten","Regionaal belang/kleinschalig",6000,2012
"248","RDGV","OYV","gedeeltelijk gratis",2008,2012-10-08,2012-10-14,7,"De Doelen / Arminius / Laurenskerk / Pelgrimvaderskerk","binnen","Nationaal belang/Parels",5079,2012
"249","VJZD","C6J","gratis",1993,2012-09-07,2012-09-09,3,"Leuvehaven / Oude Haven / Wijnhaven / Beurstrappen","beide","Regionaal belang/kleinschalig",20000,2012
"250","4TDX","1IP","gratis",2002,NA,NA,NA,NA,"route","Regionaal belang/kleinschalig",17000,2012
"251","ZSP5","NS7","betaald",2011,2012-11-25,2012-11-25,1,"De Doelen","binnen","Nationaal belang/Parels",3500,2012
"252","P4N9","ILX","gedeeltelijk gratis",2012,2012-04-26,2012-04-29,4,"Historisch Buitenmuseum / Havenmuseum","beide","Regionaal belang/kleinschalig",3550,2012
"253","21MA","YWU","gedeeltelijk gratis",2008,NA,NA,NA,NA,"beide","Nationaal belang/Parels",2000,2012
"254","5XJC","CXC","gratis",2012,2012-04-02,2012-04-06,5,"Wilhelminakade / Willemsplein","buiten","Nationaal belang/Parels",15000,2012
"255","X96V","W8W","betaald",2007,2012-02-23,2012-05-23,91,"Rotterdamse Schouwburg / De Doelen / Zuidplein / LantarenVenster / Luxor Theater (oud) / Codarts / EXIT","beide","Nationaal belang/Parels",32000,2012
"256","TM22","HZB","gedeeltelijk gratis",2009,2012-02-05,2012-03-03,5,"De Doelen / Coolsingel / WMDC / Heidegger","beide","Regionaal belang/kleinschalig",2922,2012
"257","R9WT","YN1","betaald",2004,NA,NA,NA,NA,"buiten","Regionaal belang/kleinschalig",1214,2012
"258","LI2L","4HT","gedeeltelijk gratis",2000,2012-09-14,2012-09-16,3,"Witte de Withstraat / Museumpark","beide","Nationaal belang/Parels",40000,2012
"259","R7Z8","ZIG","gratis",1993,2012-09-07,2012-09-09,3,"Parkkade / Erasmusbrug / Wilhelminapier / Havengebieden / Veerhaven / Willemskade / Boompjes / Rijnhaven / Willemsplein","buiten","Internationaal belang/Iconen",410000,2012
"260","KEUP","IM1","gratis",2001,2012-06-10,2012-07-08,5,"Het Park bij de Euromast","buiten","Regionaal belang/kleinschalig",4700,2012
