"","Evenement","Organisator","Entree Ja/Nee","Editie 1","Startdatum","Einddatum","Aantal dagen","Locatie/accomodatie","Binnen of Buiten","Imago","Bezoekers","Jaar"
"1044","X7Y6","XA8","betaald",2015,2016-06-04,2016-06-25,7,"Stadion Feijenoord / De Kuip","beide","Regionaal belang/kleinschalig",20000,2016
"1045","1MN8","RHE","betaald",2013,2016-04-27,2016-04-27,1,"Het Park bij de Euromast","buiten","Regionaal belang/kleinschalig",12000,2016
"1046","IFHR","236","gratis",2013,2016-08-28,2016-08-28,1,"Oude Haven","buiten","Regionaal belang/kleinschalig",8000,2016
"1047","JFH2","YEP","onbekend",2015,2016-03-26,2016-03-27,2,"Ahoy","binnen","Nationaal belang/Parels",NA,2016
"1048","684Q","J1P","betaald",2015,2016-08-14,2016-08-14,1,"Sidelingepark","buiten","Regionaal belang/kleinschalig",2000,2016
"1049","O51L","IMH","gedeeltelijk gratis",2014,NA,NA,NA,NA,"route","Regionaal belang/kleinschalig",4753,2016
"1050","SFS7","CZK","gedeeltelijk gratis",2016,2016-05-19,2016-05-29,8,"Rotterdamse Schouwburg / De Doelen / Groothandelsgebouw / Hofpoort","beide","n.v.t.",797,2016
"1051","M8VX","BME","betaald",2016,2016-03-26,2016-03-28,3,"Ahoy","binnen","Regionaal belang/kleinschalig",4500,2016
"1052","6WHH","6MT","onbekend",2016,2016-05-12,2016-05-12,1,"Ahoy","binnen","Nationaal belang/Parels",NA,2016
"1053","N2O8","G0G","onbekend",2016,NA,NA,NA,NA,"route","Regionaal belang/kleinschalig",NA,2016
"1054","AVJT","8RZ","gratis",2016,2016-07-15,2016-07-17,3,"Kralingse Bos","buiten","Regionaal belang/kleinschalig",9000,2016
"1055","BE1C","QK3","gratis",2012,2016-06-24,2016-06-26,3,"Oude Noorden / Pijnackerplein","buiten","Regionaal belang/kleinschalig",11500,2016
"1056","ZB46","I17","betaald",2016,2016-02-17,2016-05-08,82,"Het Oude Luxor","binnen","n.v.t.",22141,2016
"1057","K2EO","GY1","betaald",1996,2016-08-10,2016-08-28,19,"Museumpark","buiten","Regionaal belang/kleinschalig",24000,2016
"1058","IWCS","7OG","onbekend",1994,2016-06-07,2016-06-11,5,"Ro Theater / Rotterdamse Schouwburg","binnen","Nationaal belang/Parels",NA,2016
"1059","LCKL","761","betaald",2016,2016-09-10,2016-09-11,2,"Kralingse Bos","buiten","Regionaal belang/kleinschalig",8000,2016
"1060","Z4TU","9HH","onbekend",2013,NA,NA,NA,NA,"onbekend","Nationaal belang/Parels",75000,2016
"1061","6AJA","AYN","gratis",2016,NA,NA,NA,NA,"buiten","Regionaal belang/kleinschalig",600,2016
"1062","EAV5","G0G","onbekend",2013,2016-09-25,2016-09-25,1,"Van Oldenbarneveltstraat","buiten","Regionaal belang/kleinschalig",NA,2016
"1063","7ZZ6","E5H","gratis",2013,2016-03-01,2016-09-30,214,"Schouwburgplein / Kruisplein / Stationsplein","buiten","Regionaal belang/kleinschalig",535000,2016
"1064","F7IB","SFW","gedeeltelijk gratis",2016,2016-02-13,2016-08-28,198,"Museum Boijmans Van Beuningen","binnen","n.v.t.",NA,2016
"1065","08OU","ZQE","betaald",2015,2016-08-27,2016-08-28,2,"Centrum Hillegersberg","buiten","Regionaal belang/kleinschalig",6000,2016
"1066","366M","B18","betaald",2016,2016-08-27,2016-08-28,2,"Wijsenbroeklaan","buiten","Regionaal belang/kleinschalig",5000,2016
"1067","WYVO","KFP","gratis",2015,2016-05-15,2016-05-16,2,"Kralingse Bos","buiten","Nationaal belang/Parels",300,2016
"1068","S4WP","1QQ","betaald",2016,2016-06-17,2016-06-18,2,"Kosboulevard","buiten","Regionaal belang/kleinschalig",3500,2016
"1069","8FEX","G9I","gratis",2013,2016-09-17,2016-09-17,1,"Parkeerterrein Schiestraat","buiten","Regionaal belang/kleinschalig",1500,2016
"1070","OP7T","IE6","gratis",2016,2016-02-13,2016-05-13,4,"Rotterdamse Schouwburg","binnen","n.v.t.",500,2016
"1071","7CQF","PCS","gratis",2016,2016-05-01,2016-06-26,16,".en anderen / Hoogstraat / Weena","beide","n.v.t.",2000,2016
"1072","YA5K","XA8","betaald",2016,2016-05-23,2016-05-23,1,"Stadion Feijenoord / De Kuip","beide","Regionaal belang/kleinschalig",100,2016
"1073","MEMB","VGP","gratis",2016,2016-04-09,2016-04-09,1,"Rotterdamse Schouwburg","binnen","n.v.t.",120,2016
"1074","93YO","Q81","gratis",2016,2016-03-31,2016-04-10,11,"Museumpark","beide","Regionaal belang/kleinschalig",1e+05,2016
"1075","S7MN","QK6","gratis",2016,2016-04-08,2016-04-09,2,"Hoornbrekerstraat","buiten","n.v.t.",500,2016
"1076","Y4T9","S7Z","onbekend",2013,2016-05-27,2016-06-04,9,"LantarenVenster","binnen","Regionaal belang/kleinschalig",NA,2016
"1077","Y415","AGH","gratis",NA,NA,NA,NA,NA,"Mediaproductie","n.v.t.",9e+05,2016
"1078","CAIJ","IRQ","gedeeltelijk gratis",2013,2016-07-27,2016-07-31,5,"Hofplein Dakterras","buiten","Regionaal belang/kleinschalig",3000,2016
"1079","T5M2","8B1","gratis",2012,2016-05-20,2016-05-21,2,"Katendrecht","beide","Regionaal belang/kleinschalig",4000,2016
"1080","ST3Y","XA8","betaald",2016,2016-03-12,2016-03-13,2,"Stadion Feijenoord / De Kuip","beide","Regionaal belang/kleinschalig",1500,2016
"1081","1MHC","B03","onbekend",2016,2016-07-15,2016-07-24,10,"Park Pompenburg","buiten","Regionaal belang/kleinschalig",NA,2016
"1082","KF3I","FEW","gratis",2004,2016-05-16,2016-05-16,1,"Coolsingel / Route","route","Nationaal belang/Parels",30000,2016
"1083","64IR","G0G","onbekend",2016,2016-07-03,2016-07-03,1,"De Rotte","buiten","Regionaal belang/kleinschalig",NA,2016
"1084","LICE","HXK","gratis",2016,2016-05-28,2016-05-28,1,"Annabel","beide","Nationaal belang/Parels",4000,2016
"1085","63ZG","U9A","gedeeltelijk gratis",2016,2016-06-01,2016-06-30,30,".en anderen","binnen","Nationaal belang/Parels",42900,2016
"1086","XNPY","9MT","gratis",2016,2016-06-01,2016-06-01,1,"Beursplein","buiten","n.v.t.",5000,2016
"1087","XMTR","7EJ","gratis",2009,2016-06-05,2016-06-05,1,"Deliplein","buiten","Nationaal belang/Parels",2500,2016
"1088","TEDZ","H14","gedeeltelijk gratis",2012,2016-02-10,2016-02-14,5,"Nederlands Foto Instituut / Arminius / Wilhelminapier / HAL Cruiseterminal / De Rotterdam","beide","Nationaal belang/Parels",18000,2016
"1089","W82L","C5A","gratis",2016,2015-12-01,2016-06-05,183,"Centrale Bibliotheek","beide","n.v.t.",500,2016
"1090","U4ZY","4V3","gratis",2016,2016-07-26,2016-07-29,4,"De Doelen","binnen","n.v.t.",3009,2016
"1091","E7TY","E5A","betaald",2015,2016-09-10,2016-09-10,1,"Roel Langerakpark","buiten","Regionaal belang/kleinschalig",7500,2016
"1092","DMCB","ZHZ","gedeeltelijk gratis",2014,2016-09-22,2016-09-25,4,"Schouwburgplein / Van Oldenbarneveltstraat","beide","Regionaal belang/kleinschalig",24000,2016
"1093","P9I3","7JC","betaald",2016,2016-08-06,2016-08-06,1,"Lloyd Multiplein","buiten","Regionaal belang/kleinschalig",10000,2016
"1094","ATGK","SQF","gratis",2016,NA,NA,NA,NA,"Mediaproductie","n.v.t.",500,2016
"1095","YFGM","E5H","onbekend",2016,2016-09-10,2016-09-11,2,"Schouwburgplein","onbekend","Nationaal belang/Parels",NA,2016
"1096","YFGM","KQH","gedeeltelijk gratis",2012,2016-09-10,2016-09-11,2,"Schouwburgplein / Museumpark","beide","Nationaal belang/Parels",11000,2016
"1097","HFSA","4V3","gedeeltelijk gratis",2013,2016-07-26,2016-07-30,5,"Schouwburgplein / De Doelen / Rotown / Coolsingel / Hofplein / Bird","beide","Internationaal belang/Iconen",641134,2016
"1098","35HM","LKW","betaald",2016,2016-07-17,2016-07-17,1,"Route","beide","Regionaal belang/kleinschalig",4000,2016
"1099","1MPE","C11","gratis",2016,2016-01-13,2016-06-08,6,"Arminius","binnen","n.v.t.",1167,2016
"1100","B9L4","I18","gedeeltelijk gratis",2016,2016-01-01,2016-07-31,213,"Route door de binnenstad","beide","Internationaal belang/Iconen",4e+05,2016
"1101","45RN","5DE","gratis",2016,2016-05-18,2016-05-18,1,"Schouwburgplein / Lijnbaan / Erasmusbrug","buiten","n.v.t.",2750,2016
"1102","TX3L","PYD","gratis",2000,2016-07-16,2016-07-16,1,"Grotekerkplein","buiten","Regionaal belang/kleinschalig",5000,2016
"1103","0H6W","VAI","gratis",2016,2016-10-29,2016-10-29,1,"Schouwburgplein / Lijnbaan / Binnenwegplein / Koopgoot","route","Regionaal belang/kleinschalig",4800,2016
"1104","G16X","AL5","gedeeltelijk gratis",2016,2016-09-08,2017-02-12,158,"Kunsthal","beide","Nationaal belang/Parels",110000,2016
"1105","8AWZ","6TQ","gratis",2016,2016-05-18,2016-05-18,1,"Schouwburgplein","buiten","n.v.t.",1500,2016
"1106","R2QN","UA8","gedeeltelijk gratis",2015,NA,NA,NA,NA,"buiten","Nationaal belang/Parels",9000,2016
"1107","8PO8","WAM","onbekend",2013,2016-10-28,2016-11-06,10,"Rotown / WORM / Poppodium Baroeg / Bird / .en anderen","binnen","Regionaal belang/kleinschalig",25000,2016
"1108","ACFA","C29","betaald",2013,2016-09-15,2016-09-18,4,"Museumpark","buiten","Regionaal belang/kleinschalig",12500,2016
"1109","6XV2","IUP","gratis",2016,2016-05-15,2016-06-26,18,"Meent / Rode Zand","buiten","n.v.t.",15000,2016
"1110","0EVM","OHM","gedeeltelijk gratis",2009,2016-06-10,2016-06-19,6,"Zomerhofkwartier / Gevangenis Noordsingel","route","Regionaal belang/kleinschalig",5500,2016
"1111","7N54","NNM","gratis",2016,2016-03-05,2016-07-31,5,".en anderen / Woonzorgcentrum De Nieuwe Plantage / Kinderfaculteit","beide","n.v.t.",800,2016
"1112","6ASF","0AY","onbekend",2017,2016-05-13,2016-05-16,4,"Oostplein","buiten","Regionaal belang/kleinschalig",NA,2016
"1113","GU9A","B6A","gratis",2016,2016-06-26,2016-06-26,1,"Zuiderpark","buiten","Regionaal belang/kleinschalig",6000,2016
"1114","JSWC","KGH","onbekend",2002,2016-09-30,2016-10-01,2,"WORM","binnen","n.v.t.",NA,2016
"1115","V1AT","AUS","gedeeltelijk gratis",2014,2016-04-27,2016-04-27,1,"Plein 1940","buiten","Regionaal belang/kleinschalig",6000,2016
"1116","4TDX","1IP","gratis",2015,2016-11-12,2016-11-12,1,"Route door de binnenstad","route","Regionaal belang/kleinschalig",5000,2016
"1117","G6EH","BVM","betaald",2016,2016-05-18,2016-05-20,3,"Kralingse Plas","buiten","Regionaal belang/kleinschalig",1800,2016
"1118","T4UU","F7W","gedeeltelijk gratis",2014,2016-11-14,2016-11-17,4,"LantarenVenster","binnen","Regionaal belang/kleinschalig",1500,2016
"1119","ZSP5","NS7","onbekend",2011,2016-11-26,2016-11-27,2,"De Doelen","binnen","Regionaal belang/kleinschalig",4546,2016
"1120","Q9BI","D59","gedeeltelijk gratis",2016,2016-04-16,2016-06-12,3,"Dakterras LP2 / hoek Bartel Wiltonkade en Sibajakstraat, Schiemond / Kleinpolderplein","buiten","n.v.t.",500,2016
"1121","KZDO","87L","gratis",2014,2016-12-09,2016-12-23,2,"Coolsingel / Beurstrappen","buiten","Regionaal belang/kleinschalig",20000,2016
"1122","EMRG","1GC","betaald",2016,2016-01-06,2016-07-15,2,"Rotterdamse Schouwburg","binnen","n.v.t.",296,2016
"1123","9DZ1","7OG","gratis",2016,2016-06-08,2016-06-10,2,"Witte de Withstraat","binnen","n.v.t.",100,2016
"1124","U0CN","SJB","betaald",2015,2016-04-07,2016-04-09,3,"Cinerama","beide","Nationaal belang/Parels",2400,2016
"1125","H3PY","Y88","betaald",2016,2016-07-29,2016-07-29,1,"Willemsplein","beide","n.v.t.",148,2016
"1126","9DOV","E3T","gratis",2016,2016-06-24,2016-06-26,3,"Centrum Hillegersberg","buiten","Regionaal belang/kleinschalig",2500,2016
"1127","MXQL","C29","gratis",2015,2016-05-27,2016-05-29,3,"Lijnbaan / Centraal Station / Binnenrotte / Beursplein / Binnenwegplein / Bibliotheek / Grotekerkplein / Pannekoekstraat / .en anderen / Markthal / Hoogstraat","beide","Regionaal belang/kleinschalig",40000,2016
"1128","EZZT","V6N","gratis",2011,2016-05-05,2016-05-05,1,"Hoek van Holland strand","buiten","Regionaal belang/kleinschalig",120000,2016
"1129","UE32","BZV","onbekend",2012,2016-02-25,2016-02-25,1,"Studentenkamers Rotterdam","binnen","Regionaal belang/kleinschalig",NA,2016
"1130","3QF8","WXD","betaald",2016,2016-08-21,2016-08-21,1,"Zuiderpark","buiten","Regionaal belang/kleinschalig",1000,2016
"1131","H7DK","8RZ","betaald",2012,2016-03-28,2016-08-07,6,"Museumpark","binnen","Regionaal belang/kleinschalig",6000,2016
"1132","CWI9","ELX","gedeeltelijk gratis",2014,2016-02-07,2016-12-18,20,"Schouwburgplein / De Doelen","beide","Nationaal belang/Parels",5095,2016
"1133","Z272","XHQ","gedeeltelijk gratis",2014,2016-02-10,2016-02-14,5,"Witte de Withstraat / Kruisplein","beide","Nationaal belang/Parels",1250,2016
"1134","WSNW","SQY","onbekend",2011,2016-11-04,2016-11-04,1,"Van Nellefabriek","binnen","Regionaal belang/kleinschalig",NA,2016
"1135","W5TL","D4Q","betaald",2015,2016-08-20,2016-08-20,1,"Lloyd Multiplein","buiten","Regionaal belang/kleinschalig",7500,2016
"1136","TFUV","34K","onbekend",2016,2016-03-12,2016-03-12,1,"Maassilo","binnen","Regionaal belang/kleinschalig",NA,2016
"1137","N22S","6CA","onbekend",2014,2016-10-01,2016-10-02,2,"Museum Boijmans Van Beuningen / MAMA showroom / Tent / Witte de With","onbekend","Regionaal belang/kleinschalig",NA,2016
"1138","IU3S","29K","gedeeltelijk gratis",2016,2016-06-04,2016-06-05,2,"Willemsplein","buiten","Regionaal belang/kleinschalig",10000,2016
"1139","IIRT","380","betaald",2015,2016-06-04,2016-06-04,1,"Parkeerterrein Ahoy","buiten","Nationaal belang/Parels",45000,2016
"1140","M8FH","GSS","gedeeltelijk gratis",2016,2016-02-25,2016-02-25,1,"Rotterdamse Schouwburg","binnen","n.v.t.",341,2016
"1141","4RPO","C0T","gedeeltelijk gratis",2016,2015-09-07,2016-07-31,329,"De Doelen / .en anderen","beide","n.v.t.",21438,2016
"1142","20ZB","90G","gedeeltelijk gratis",2016,2016-01-27,2016-02-07,12,"Schouwburgplein / Rotterdamse Schouwburg / De Doelen / LantarenVenster / Pathe Schouwburgplein / .en anderen / Het Oude Luxor","beide","Internationaal belang/Iconen",767,2016
"1143","JNT9","NBA","gedeeltelijk gratis",2016,2016-05-01,2016-07-31,92,".en anderen","binnen","n.v.t.",9e+05,2016
"1144","OHOS","CMV","betaald",2015,2016-05-21,2016-05-21,1,"Roel Langerakpark","buiten","Nationaal belang/Parels",10000,2016
"1145","GUSQ","0XG","betaald",2016,2016-07-23,2016-07-23,1,"Sidelingepark","buiten","Regionaal belang/kleinschalig",5000,2016
"1146","B78P","NV7","gratis",2015,2016-11-17,2016-11-17,1,"Coolsingel","buiten","Regionaal belang/kleinschalig",12500,2016
"1147","U4SD","WQY","gratis",2002,2016-08-27,2016-08-27,1,"Veerhaven","buiten","Regionaal belang/kleinschalig",4500,2016
"1148","1AG1","ZBC","gratis",2016,2016-06-01,2016-06-26,2,"Westersingel","buiten","n.v.t.",400,2016
"1149","CWJV","GKI","betaald",2004,2016-06-11,2016-06-12,2,"Tuinen Rotterdam","buiten","Regionaal belang/kleinschalig",23000,2016
"1150","7LUP","R0P","gedeeltelijk gratis",2015,2016-07-10,2016-07-10,1,"Wijkpark Oude Westen","buiten","Regionaal belang/kleinschalig",2000,2016
"1151","LQQW","1QO","betaald",2016,2016-06-25,2016-06-25,1,"Hofplein Dakterras / Hofbogen","beide","Regionaal belang/kleinschalig",2500,2016
"1152","5K1G","OOH","betaald",2014,2016-08-27,2016-08-27,1,"Vroesenpark","buiten","Regionaal belang/kleinschalig",5000,2016
"1153","I9Q2","MZ6","gratis",2016,NA,NA,NA,NA,"route","n.v.t.",50000,2016
"1154","SAEV","IXS","gratis",2016,2016-07-06,2016-08-03,29,"Stadhuisplein","route","Regionaal belang/kleinschalig",40000,2016
"1155","SAEV","4GC","gratis",2001,2016-07-06,2016-08-03,5,"Route","buiten","Regionaal belang/kleinschalig",40000,2016
"1156","KKQ3","XHI","gratis",2015,2016-08-27,2016-08-27,1,"Deliplein / Rijnhavenplein / Rijnhavenbrug / Wilhelminahoofd","buiten","Regionaal belang/kleinschalig",2500,2016
"1157","8Y8S","OOH","gratis",2016,2016-09-09,2016-09-11,3,"Witte de Withstraat","beide","Regionaal belang/kleinschalig",8000,2016
"1158","YZ2N","KBE","gratis",2014,2016-05-21,2016-05-21,1,"Park 1943","buiten","Regionaal belang/kleinschalig",NA,2016
"1159","R7Z8","ZIG","gratis",1993,2016-09-02,2016-09-04,3,"Parkkade / Katendrecht / Erasmusbrug / Wilhelminapier / Havengebieden / Veerkade  / Veerhaven / Willemskade / Boompjes / Rijnhaven / Leuvehoofd / Willemsplein / Westerkade / Nieuwe Maas / Parkeerterrein ss Rotterdam / Rijnhavenbrug","buiten","Internationaal belang/Iconen",380000,2016
"1160","OL9O","M0E","onbekend",2016,2016-04-22,2016-04-24,3,"Willem-Alexander Roeibaan","buiten","Nationaal belang/Parels",NA,2016
"1161","37K0","485","gratis",2015,2016-06-18,2016-06-18,1,"Plein 1940 / Wijnhaven","beide","Regionaal belang/kleinschalig",1700,2016
"1162","PBQ3","TKL","betaald",2015,2016-10-27,2016-10-30,4,"Cinerama","binnen","Nationaal belang/Parels",4000,2016
"1163","FBVM","69F","gratis",2016,2016-04-14,2016-04-16,3,"Schouwburgplein / Rotterdamse Schouwburg","beide","Regionaal belang/kleinschalig",2500,2016
"1164","M808","M0E","onbekend",2016,2016-07-23,2016-07-24,2,"Het Park bij de Euromast / Route","buiten","Internationaal belang/Iconen",NA,2016
"1165","ISXR","K3M","betaald",2014,2016-10-08,2016-10-08,1,"Witte de Withstraat / Westersingel / Arminius / Centrale Bibliotheek / Groothandelsgebouw / WORM / Westzeedijk","beide","Regionaal belang/kleinschalig",750,2016
"1166","D3KG","VBP","gedeeltelijk gratis",2016,2016-10-16,2016-10-16,1,"Schouwburgplein / Rotterdamse Schouwburg / Fenixloods / Markthal","beide","Regionaal belang/kleinschalig",6000,2016
"1167","K5F8","M18","gratis",2013,2016-05-21,2016-05-22,2,"Katendrecht / Route","buiten","Nationaal belang/Parels",4500,2016
"1168","OV9Q","M0E","onbekend",2016,2016-08-21,2016-08-28,8,"Willem-Alexander Roeibaan","buiten","Internationaal belang/Iconen",NA,2016
"1169","11RU","H4T","gedeeltelijk gratis",2016,2016-06-23,2016-06-26,4,".en anderen / Nationale Nederlanden I Delfsepoort I The World","binnen","n.v.t.",230,2016
"1170","7OLX","WW6","gratis",2013,2016-12-16,2016-12-24,9,"Historisch Delfhaven","beide","Regionaal belang/kleinschalig",1e+05,2016
"1171","6RNW","6MT","onbekend",2011,2016-01-07,2016-01-12,6,"Ahoy","binnen","Nationaal belang/Parels",NA,2016
"1172","LL64","D1M","gedeeltelijk gratis",2014,2016-06-16,2016-06-26,11,"Hoogstraat","beide","Nationaal belang/Parels",12500,2016
"1173","KEUP","IM1","gedeeltelijk gratis",2001,2016-06-05,2016-06-26,4,"Het Park bij de Euromast","buiten","Regionaal belang/kleinschalig",7200,2016
"1174","ICON","Y88","gedeeltelijk gratis",2017,2017-05-31,2017-06-04,5,"Schouwburgplein / Markthal / MAMA showroom / Theater Walhalla / .en anderen / Tent / WORM / een route door de binnenstad / De Doelen / RAAF / Het Oude Luxor","route","Regionaal belang/kleinschalig",2500,2017
"1175","2G6S","C6J","gratis",1993,2017-08-31,2017-09-03,4,"Maritiem Museum / Erasmusbrug / Plein 1940 / Coolsingel / Wijnhaven / Beurstrappen / .en anderen / Vessel 11 (V11)","beide","Regionaal belang/kleinschalig",32000,2017
"1176","20YD","8FW","gedeeltelijk gratis",NA,2017-04-01,2017-04-30,30,"Maassilo / Rotown / Rotterdamse Schouwburg","binnen","Nationaal belang/Parels",9381,2017
"1177","1QDA","XJ9","betaald",2011,2017-02-13,2017-02-19,7,"Ahoy","binnen","Internationaal belang/Iconen",2500,2017
"1178","3FD7","WRU","gedeeltelijk gratis",2014,2017-10-07,2017-10-07,1,"Eendrachtsplein / Unknown","Binnen en Buiten","Regionaal belang/kleinschalig",8000,2017
"1179","6RAF","E5H","gratis",2013,2017-05-01,2017-10-31,184,"Schouwburgplein / Kruisplein","buiten","Regionaal belang/kleinschalig",130000,2017
"1180","V1MD","WG8","betaald",2000,2017-10-04,2017-10-08,5,"LantarenVenster / Rotterdamse Schouwburg","Binnen","Nationaal belang/Parels",6000,2017
"1181","SHO9","B93","onbekend",2017,2017-10-14,2017-10-14,1,"Kino Rotterdam","binnen","Regionaal belang/kleinschalig",NA,2017
"1182","2SXR","9S6","gedeeltelijk gratis",2002,2017-10-11,2017-10-15,5,"Unknown / Cinerama","Binnen en Buiten","Nationaal belang/Parels",1934,2017
"1183","2ROY","HEP","onbekend",2017,2016-06-17,2016-06-17,1,"Scheepvaart enTransport College","binnen","Regionaal belang/kleinschalig",NA,2017
"1184","47RU","U9A","gratis",2017,2017-06-14,2017-06-14,1,"Kriterion, Groothandelsgebouw","binnen","Regionaal belang/kleinschalig",312,2017
"1185","CF65","WBH","gratis",2017,2017-08-27,2017-08-27,1,"Hoek van Holland strand","Binnen en Buiten","Regionaal belang/kleinschalig",450,2017
"1186","3NXG","8AJ","gedeeltelijk gratis",2013,2017-02-08,2017-02-12,5,"Witte de Withstraat / Centraal Station / Van Nellefabriek / Museumpark / Wilhelminakade / Merwe Vierhavensgebied","beide","Internationaal belang/Iconen",26250,2017
"1187","YDBM","I28","gratis",2006,2017-09-09,2017-09-09,1,"Zuiderpark","buiten","Regionaal belang/kleinschalig",8000,2017
"1188","2YW2","ZZW","betaald",2016,2017-02-11,2017-02-11,1,"Het Park bij de Euromast","buiten","Regionaal belang/kleinschalig",2500,2017
"1189","YSLM","ARN","gratis",2017,2017-09-01,2017-09-01,1,"Hoek van Holland","buiten","Regionaal belang/kleinschalig",5000,2017
"1190","I7JN","ARN","gedeeltelijk gratis",2017,2017-07-01,2017-07-01,1,"Hoek van Holland","buiten","Regionaal belang/kleinschalig",5000,2017
"1191","8D0E","ZYV","betaald",2016,2017-05-05,2017-05-05,1,"Campus Erasmus Universiteit / Stadion Woudestein / Excelsior","buiten","Regionaal belang/kleinschalig",1500,2017
"1192","UK6X","M8W","gratis",1996,2017-05-05,2017-05-05,1,"Het Park bij de Euromast","buiten","Nationaal belang/Parels",50000,2017
"1193","ZYW0","SH7","betaald",2014,2017-08-12,2017-08-12,1,"Roel Langerakpark","buiten","Regionaal belang/kleinschalig",4500,2017
"1194","THDE","ZU7","betaald",2012,2017-06-10,2017-06-10,1,"Kralingse Bos","buiten","Regionaal belang/kleinschalig",12500,2017
"1195","AYO7","QH0","gedeeltelijk gratis",2015,2017-05-27,2017-06-05,8,"Kralingse Plas","buiten","Regionaal belang/kleinschalig",5000,2017
"1196","TNRF","EXF","gedeeltelijk gratis",2015,2017-05-14,2017-05-14,1,"Binnenrotte / Blaak / Grotekerkplein / Route","route","Regionaal belang/kleinschalig",8000,2017
"1197","58IN","YK6","gedeeltelijk gratis",2011,2017-12-10,2017-12-10,1,"Stadion Feijenoord / De Kuip / Route","beide","Nationaal belang/Parels",20000,2017
"1198","N4MK","YMS","betaald",2007,2017-09-21,2017-09-24,4,"LantarenVenster","binnen","Nationaal belang/Parels",6400,2017
"1199","X1VQ","Q4J","gedeeltelijk gratis",1993,2017-11-22,2017-11-25,4,"Theater Zuidplein / Hofplein / Theater Walhalla / Biergarten / Het Nieuwe Luxor / Het Oude Luxor","beide","Nationaal belang/Parels",12650,2017
"1200","I16J","2Y7","gedeeltelijk gratis",2017,2017-05-06,2017-05-07,2,"Prinsenhoofd / Schouwburgplein","beide","Nationaal belang/Parels",2000,2017
"1201","10SX","G0G","onbekend",2017,2017-04-01,2017-04-01,1,"Ferro locatie","binnen","Regionaal belang/kleinschalig",NA,2017
"1202","XA9C","LDW","betaald",2012,2017-06-22,2017-06-25,4,"Kralingse Bos / Rotterdamsche Manege","beide","Nationaal belang/Parels",45000,2017
"1203","3QWA","B93","onbekend",2014,2017-05-06,2017-05-07,2,"Kino Rotterdam","binnen","Regionaal belang/kleinschalig",NA,2017
"1204","1PPL","CIM","betaald",2016,2017-03-25,2017-03-25,1,"Hoek van Holland","beide","Regionaal belang/kleinschalig",3000,2017
"1205","6ILM","7EJ","gedeeltelijk gratis",2009,2017-05-03,2017-05-07,5,"Schouwburgplein / Rotterdamse Schouwburg / Het Oude Luxor","beide","Nationaal belang/Parels",25311,2017
"1206","C599","AAA","gedeeltelijk gratis",2015,2017-05-18,2017-05-19,2,"De Doelen / WORM / Bird / .en anderen","binnen","Nationaal belang/Parels",2370,2017
"1207","EYXQ","F0C","gratis",2016,2017-04-27,2017-04-27,1,"Stadhuisplein","buiten","Regionaal belang/kleinschalig",7000,2017
"1208","1327","E1O","gedeeltelijk gratis",2017,2017-05-26,2017-05-28,3,"Arminius / De Gouvernestraat / Bird","binnen","Regionaal belang/kleinschalig",NA,2017
"1209","7HBU","VKS","betaald",2016,2017-06-03,2017-06-03,1,"Wilhelminakade","beide","Regionaal belang/kleinschalig",2300,2017
"1210","EJ4A","G0G","onbekend",2017,NA,NA,0,"Alblasstraat","binnen","Regionaal belang/kleinschalig",NA,2017
"1211","D29J","PAO","betaald",2014,2017-08-05,2017-08-05,1,"Zuiderpark","buiten","Regionaal belang/kleinschalig",12500,2017
"1212","RO2K","ZZW","betaald",2017,2017-10-28,2017-10-28,1,"Zuiderpark","buiten","Regionaal belang/kleinschalig",7500,2017
"1213","66BK","IFM","betaald",2016,2017-10-21,2017-10-22,2,"Rotterdamse Schouwburg / Kunsthal / Cinerama / Rotown / Arminius","beide","Nationaal belang/Parels",1000,2017
"1214","EWVO","8UN","onbekend",2012,2017-03-04,2017-03-04,1,"De Doelen","binnen","Regionaal belang/kleinschalig",1000,2017
"1215","4M0J","257","betaald",2011,2017-01-05,2017-12-28,83,"Wilhelminakade","buiten","n.v.t.",1000,2017
"1216","EDZW","JLU","betaald",2011,2017-08-17,2017-08-20,4,"Zevenhuizerplas","buiten","Regionaal belang/kleinschalig",30000,2017
"1217","5QSN","55P","gratis",2017,2017-08-19,2017-08-19,1,"Vroesenpark","buiten","Regionaal belang/kleinschalig",7000,2017
"1218","FTZ9","CU4","gedeeltelijk gratis",1994,2017-06-17,2017-06-18,2,"Wilhelminapier / Maritiem District / Leuvehaven","beide","Nationaal belang/Parels",8000,2017
"1219","XA2G","T8M","gratis",1993,2017-08-19,2017-08-20,2,"Het Park bij de Euromast","buiten","Nationaal belang/Parels",15000,2017
"1220","TCHR","UA8","gratis",2017,2017-06-02,2017-06-25,11,".en anderen / Dak Bijenkorf","beide","Regionaal belang/kleinschalig",8105,2017
"1221","R76M","KQH","gratis",2005,2017-07-29,2017-08-06,9,"Museumpark","buiten","Regionaal belang/kleinschalig",5500,2017
"1222","YSZT","69Z","onbekend",2015,2017-02-23,2017-02-26,4,"Locatie nog onbekend","buiten","Regionaal belang/kleinschalig",NA,2017
"1223","8XQV","LTB","betaald",2009,2017-09-02,2017-09-02,1,"Katendrecht","beide","Nationaal belang/Parels",6000,2017
"1224","YNIW","709","gratis",2015,2017-05-20,2017-05-20,1,"Zevenhuizerplas","buiten","Regionaal belang/kleinschalig",800,2017
