"","postalcode","formal.address","location.lat","location.lng","bounds.northeast.lat","bounds.northeast.lng","bounds.southwest.lat","bounds.southwest.lng"
"12245","3052PB","3052 PB Rotterdam, Netherlands",51.9512,4.4743,51.9513,4.4744,51.9499,4.4726
"12246","3052PC","3052 PC Rotterdam, Netherlands",51.9524,4.4738,51.9526,4.4746,51.9513,4.4728
"12247","3052PD","3052 PD Rotterdam, Netherlands",51.9519,4.4741,51.9526,4.4746,51.9513,4.4728
"12248","3052PE","3052 PE Rotterdam, Netherlands",51.9514,4.4744,51.9526,4.4746,51.9513,4.4728
"12249","3052PG","3052 PG Rotterdam, Netherlands",51.9509,4.4746,51.9513,4.476,51.9499,4.4742
"12250","3052PJ","3052 PJ Rotterdam, Netherlands",51.9524,4.4733,51.9527,4.4746,51.9513,4.4712
"12251","3052PK","3052 PK Rotterdam, Netherlands",51.9517,4.472,51.9527,4.473,51.9513,4.4712
"12252","3052PM","3052 PM Rotterdam, Netherlands",51.9511,4.4692,51.9515,4.4712,51.9501,4.4677
"12253","3052PN","3052 PN Rotterdam, Netherlands",51.9508,4.468,51.9516,4.4696,51.9501,4.4661
"12254","3052PP","3052 PP Rotterdam, Netherlands",51.9505,4.4668,51.9516,4.4679,51.9502,4.4645
"12255","3052PR","3052 PR Rotterdam, Netherlands",51.9514,4.4716,51.9527,4.473,51.95,4.471
"12256","3052PS","3052 PS Rotterdam, Netherlands",51.951,4.4718,51.9527,4.473,51.95,4.471
"12257","3052PT","3052 PT Rotterdam, Netherlands",51.9514,4.4728,51.9527,4.4744,51.9499,4.471
"12258","3052PV","3052 PV Rotterdam, Netherlands",51.9512,4.4673,51.9529,4.4696,51.9501,4.4661
"12259","3052PW","3052 PW Rotterdam, Netherlands",51.9518,4.4727,51.9527,4.4746,51.9513,4.4712
"12260","3052PX","3052 PX Rotterdam, Netherlands",51.9515,4.4729,51.9527,4.4746,51.9513,4.4712
"12261","3052PZ","3052 PZ Rotterdam, Netherlands",51.9512,4.473,51.9526,4.4746,51.9499,4.4726
"12262","3052RA","3052 RA Rotterdam, Netherlands",51.9526,4.4748,51.9539,4.4764,51.9512,4.4744
"12263","3052RC","3052 RC Rotterdam, Netherlands",51.9532,4.4745,51.954,4.4764,51.9525,4.473
"12264","3052RD","3052 RD Rotterdam, Netherlands",51.9529,4.4748,51.9539,4.4764,51.9525,4.4746
"12265","3052RE","3052 RE Rotterdam, Netherlands",51.9527,4.475,51.9539,4.4764,51.9525,4.4746
"12266","3052RG","3052 RG Rotterdam, Netherlands",51.9524,4.4751,51.954,4.4764,51.9512,4.473
"12267","3052RH","3052 RH Rotterdam, Netherlands",51.9522,4.4753,51.954,4.4764,51.9512,4.473
"12268","3052RJ","3052 RJ Rotterdam, Netherlands",51.9521,4.4753,51.9539,4.4764,51.9512,4.4744
"12269","3052RR","Rotterdam, Netherlands",51.9244,4.4777,51.9943,4.6013,51.8616,4.3795
"12270","3052SL","3052 SL Rotterdam, Netherlands",51.9513,4.4701,51.9541,4.4714,51.9501,4.4679
"12271","3052SM","3052 SM Rotterdam, Netherlands",51.951,4.4704,51.9514,4.4712,51.9501,4.4694
"12272","3052SN","3052 SN Rotterdam, Netherlands",51.9508,4.4705,51.9514,4.4712,51.9501,4.4694
"12273","3052SP","3052 SP Rotterdam, Netherlands",51.9506,4.4706,51.9514,4.4712,51.9501,4.4694
"12274","3052SR","3052 SR Rotterdam, Netherlands",51.9503,4.4708,51.9514,4.4712,51.9501,4.4694
"12275","3052ST","3052 ST Rotterdam, Netherlands",51.9534,4.4686,51.9542,4.47,51.9528,4.4665
