"","Neighbourhood","Postcode","Year","Total %","4-11 years %","12-17 years %","18-64 years %","65-80 years %","81+ years %","4-11 years % men","4-11 years % women","12-17 years % men","12-17 years % women","18-64 years % men","18-64 years % women","65-80 years % men","65-80 years % women","81+ years % men","81+ years % women"
"65","Nieuwe Werk","3016",2017,25.7,65.4,23.5,23.8,30.5,33.3,91.3,44.8,25.5,20,28.8,17.8,35.3,25.2,27.3,50
"66","Middelland","3021",2017,13.4,27.9,37.2,12,4.8,1.4,34,22.3,46.9,28.7,16.5,7.2,7.3,2.2,1.6,1.3
"67","Delfshaven","3024",2017,11.9,23.7,24.3,11.2,8,5.8,28.6,18.2,34.3,14.9,15,6.9,12.1,3.8,8,4.3
"68","Bospolder","3025",2017,8.8,20,22.7,6.6,3.8,4.7,28.3,11.6,33.4,11.4,11.1,1.9,5.7,1.7,9.1,1.9
"69","Tussendijken","3026",2017,8.3,20,20.4,7.2,2,2.9,26.5,12.3,37.3,2.9,11.6,2.6,3.5,0.6,7.4,0
"70","Spangen","3027",2017,10.5,19.3,29.3,8.6,2.9,1,27.4,10.9,48.1,8.1,14.4,2.8,4.9,0.9,2.4,0
"71","Oud-Mathenesse en Witte dorp","3028",2017,8.7,18.4,24.8,7.6,5.3,2.9,23.4,13,38.4,9.7,12.1,2.4,10.7,0,8.8,0
"72","Nieuw Mathenesse en Schiemond","3029",2017,9.6,21.9,30.3,6.4,4.4,0,26.5,16.3,47.4,13.1,12.9,0.8,7.9,1.8,0,0
"73","Rubroek","3031",2017,11.3,19.9,17.7,12.1,4.7,3,26.7,12.8,28.6,7.4,17.6,7,8.1,1.9,9.6,0
"74","Agniesebuurt","3032",2017,11.7,23.9,30.3,11,5.7,3.4,27.7,20.1,45.7,15.8,15.3,6.7,8.4,3,4.8,2.1
"75","Provenierswijk","3033",2017,14.3,29.8,37.1,13.2,7,2.8,33.8,25.2,52.9,20.4,18.3,8.3,10.5,4,6.7,0
"76","Oud Crooswijk + Nieuw Crooswijk + Kralingse Bos","3034",2017,10.1,19.5,21.9,9.5,5.4,4.3,26.3,12.1,34.8,8.9,14.7,4.4,9.8,1.3,12.7,0
"77","Liskwartier","3037",2017,15.6,31.2,32.4,14.8,7.9,1.5,37.4,24.3,39.8,25.3,20.6,9.2,13.4,3.3,4.3,0
"78","Bergpolder","3038",2017,14.3,29.3,30.6,14.1,5.3,3.9,33.2,25.3,43,19.6,19.5,9.1,9.5,0.9,5.3,3.1
"79","Blijdorp","3039",2017,19.9,42.8,59.5,19.1,10.7,3.9,46.1,39.3,64.9,53.3,24.8,13.7,15.2,7,12.9,0.4
"80","Blijdorpsepolder","3041",2017,10.9,33.3,NA,6.2,50,NA,16.7,NA,NA,NA,6.4,5.7,50,NA,NA,NA
"81","Kleinpolder","3042",2017,12,29.3,35.2,10.2,7.4,2.1,34.1,24.1,49.1,21.6,15.4,5,12.2,2.9,5.9,0.4
"82","Overschie","3043",2017,19.9,38.1,48.6,17.5,15.6,5.4,41.6,34,50.4,46.5,24.5,10.3,22.9,7.7,10.5,1.8
"83","Zestienhoven","3045",2017,22.9,40.6,52.4,23,10.1,4,40.8,40.4,68.8,35,30.9,14.5,15.9,3.3,8.7,2.6
"84","Schieveen","3046",2017,31.3,54.5,54.2,30.6,23.7,11.1,60,46.2,41.7,66.7,39.4,21.6,25,22.2,14.3,0
"85","Hillegersberg Zuid","3051",2017,26.8,50.9,67.2,24,16,7.9,53.1,48.7,69.8,64.7,32.8,15.5,23.3,8.2,13.8,4.3
"86","Hillegersberg Noord","3054",2017,31.8,59.6,77.3,29.1,26.5,9.4,61.9,57.3,89.3,64.5,40,19.3,34,20.4,16.1,6.1
"87","Molenlaankwartier","3055",2017,42.6,69.3,80.3,42.4,29.7,7.8,64.2,74.9,83.3,76.5,53.1,32.5,39,21.9,14.4,5.1
"88","Terbregge","3056",2017,33.3,52.5,71.7,29.4,15.6,10.6,53.5,51.5,81.2,60,40.3,19.3,25.9,6.2,11.4,9.7
"89","Nesselande","3059",2017,30.2,58.9,60.4,23,17.8,1.8,60.1,57.7,69.3,50.9,33.6,12.6,25.4,10.5,2.3,1.5
"90","Kralingen West","3061",2017,17.7,35,31.8,17.3,10,4.5,41.4,28.3,40.8,23.6,23.6,11.2,13.1,7.3,9.3,2.2
"91","Kralingen-Oost en Kralingse Bos","3062",2017,36.8,74.8,60.5,33.4,31.1,9.8,73.2,76.4,67.9,53.2,41.9,25.1,39.5,24.1,18.7,4.4
"92","Struisenburg en de Esch","3063",2017,16.6,34.9,19.5,16.2,17.2,9.3,43.1,26.8,30.5,9.6,21.6,10.7,24.1,11.3,14,5.9
"93","Kralingseveer","3064",2017,20.8,44.8,42.5,18.4,11.7,0,44.7,44.9,55,30,26.3,10.1,19.8,3.7,0,0
"94","Prinsenland","3066",2017,17.7,36.7,51.5,16.2,11.8,3.5,42.3,30,62.3,38.3,23.9,8.8,18.9,5.8,8.2,0.8
"95","Het lage Land + Oosterflank","3067",2017,14,31.9,37.3,12.8,9.9,4,37.2,26.6,49,25.8,19.6,6.4,15.7,5.5,8.5,2.2
"96","Feijenoord + Kop van Zuid-Entrepot + Noordereiland","3071",2017,11.8,26.3,28.7,9.9,5.6,1.7,30.4,21.8,41.4,15.7,15.6,4.6,8.9,2.4,4.3,0
"97","Katendrecht + Kop van Zuid + Afrikaanderwijk","3072",2017,11.4,31.6,25.2,9,5.6,1.4,36.7,26.4,38.1,11.9,14.3,3.7,8.8,2.3,3.8,0
"98","Bloemhof","3073",2017,7.4,14.6,20.3,6.2,3.2,2.2,20.5,8.4,30.8,9.2,11.1,1.1,5.8,0.5,3.8,1
"99","Hillesluis","3074",2017,8.2,18.2,20.8,6.7,2.6,0.6,24.8,11.5,33.2,8.5,12,1.2,5,0.2,1.7,0
"100","Vreewijk","3075",2017,12.1,26.2,32.9,10.6,7.9,3.1,30.4,21.7,47,17.9,17.6,4.5,14,2.6,7.8,0.3
"101","Lombardijen","3076",2017,10.2,19.2,26,9.4,6.9,3.5,25.6,12.6,37.1,13.7,15.1,3.8,11.1,3.3,9.2,0.9
"102","Oud-Ijsselmonde + Beverwaard","3077",2017,13.7,28.8,32.6,11.2,9.2,3,32.9,24.6,44.2,20.7,18.7,4,15.2,2.8,6.7,1
"103","Tarwewijk","3081",2017,7.6,15.3,17.6,6.4,5.1,2.9,18.9,11.6,28.9,6.7,10.7,1.8,8.4,1.5,4.7,1.7
"104","Oud Charlois","3082",2017,10.4,21.2,26.6,8.7,5.9,4.5,24.3,18.2,38,15.1,13.5,3.4,10.1,1,12.7,0.8
"105","Carnisse + Zuidplein","3083",2017,8.9,18.9,23.6,7.8,7,1.8,23.4,13.9,36.1,9.8,12.1,2.8,11.7,2.4,3.8,0.6
"106","Zuiderpark + Zuidrand + Wielewaal","3084",2017,9.2,22.6,25,10.4,7.9,1.5,27.6,16.7,27.8,21.4,13.7,6.6,11.3,4.3,5.1,0.3
"107","Zuidwijk","3085",2017,10.9,23.4,31.2,9.7,6.5,2,29.9,16,45.9,15.1,15.8,3.6,12.9,1.3,5.4,0.6
"108","Pendrecht","3086",2017,9.5,23.8,26.7,7,5.3,2.3,28.9,18.5,38.8,12.5,12.1,1.9,8.7,2.2,5.8,0.6
"109","Oud-Charlois + Waalhaven","3087",2017,9.9,22.1,25.2,7.9,8.8,1.4,32.2,11.8,40.9,7,14.8,1.9,16.7,1.4,3.6,0
"110","Heijplaat","3089",2017,16,52.1,39.5,12.2,9.6,1.9,54.7,49.1,52.1,21.2,20,4.3,14.3,4.9,6.2,0
"111","Hoek van Holland (hele gebied) + Rijnpoort","3151",2017,28.3,55.7,59.9,26,21.9,8.1,55,56.6,68.8,49.8,35.8,16.5,28.2,15.9,12.4,5.6
"112","Rozenburg (hele gebied)","3181",2017,25.1,43.1,55.5,23.3,17.6,7.7,44.9,41.3,64.3,46.5,32,14.6,22.2,13.2,13.6,3.9
"113","Hoogvliet Noord","3193 + 3194",2017,13.9,32.2,34.6,11.6,7.9,2.7,41.6,22.4,47.2,21.8,18.4,4.6,14.7,2.3,7.1,0
"114","Pernis + Eemhaven","3195",2017,23.3,52,55,21.7,11.9,2.3,55.5,48.8,67.1,41.1,30.6,12.6,17.2,7,6.9,0
"115","Oude Westen en Dijkzicht","3014 + 3015",2017,10.1,18.1,24.4,9.9,3.6,1.3,24.4,11.8,37.5,9.2,13.8,5.9,5.9,1.1,2.2,0.7
"116","Nieuwe Westen","3022 + 3023",2017,11.5,23.1,28.1,9.8,4.6,2.1,31.2,15.1,38.9,16.1,14.8,4.7,7,1.9,4,0.7
"117","Oude Noorden","3035 + 3036",2017,10,21.7,21.3,8.9,4.8,4.4,27.9,15.6,33.1,9.9,13.5,4.2,7.4,2.1,9.1,0.9
"118","Schiebroek","3052 + 3053",2017,22.5,47.7,58.5,19.2,14.7,3,47.4,48.1,71.8,45.4,27.1,12.2,19.8,10.2,5.5,1.9
"119","Ommoord + Zevenkamp","3068 + 3069",2017,16.4,35.9,41.4,14.7,12.8,5.1,39.2,32.4,51.3,31,22.5,7.6,18.4,8.2,9.9,2.5
"120","Groot IJsselmonde","3078 + 3079",2017,11.4,24.5,28.8,10.4,7.5,3.2,30.7,18.3,37.4,20.2,16.9,4.2,13.4,2.8,8.2,0.8
"121","Hoogvliet Zuid","3191 + 3192",2017,15.2,39.1,37.4,13.9,8.8,3.3,43.7,34.2,45.9,28.4,22.3,5.8,15.7,3.3,6.7,1.3
"122","'s Gravenland","3065",2017,32.2,55.9,71.1,27.9,21.4,8.2,56.5,55.3,78.8,63.3,37.6,19,29.3,13.5,14.5,3.8
